目录编号,视频ID,视频标题,发布时间_格式化,点赞数,分享数,播放数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453446895605760825,十一年合理吗,三等锦鲤,839634276591995,660,0,2024-12-28 21:00:41,四川,
004,7328196474980797715,科技让会种地变成慧种地！全国农作物耕种收综合机械化率已超过73% #绘说现代化,2024-01-26 08:25:26,21792,7226,1160108,L1,7328242867271844642,慧种地，第一次听说[呲牙],好玩,2444950160544413,618,0,2024-01-26 11:25:08,云南,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382897828962272037,秦朝和隋朝虽然是两个短命的朝代，但功绩胜过所有朝代,留住美好的瞬间,104643474067,607,2,2024-06-21 18:14:18,广东,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561675915387929403,仁义礼智信  老师我现在不懂了[流泪],牢大我不想读数,3180224168858984,569,0,2025-10-16 12:44:33,浙江,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382881631834899240,长城  坎儿井  大运河  三大奇迹,荒,20624143323,558,3,2024-06-21 17:11:27,陕西,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453406029289489215,我在等大部队[流泪][流泪],明媚的驴,2859143848535924,558,6,2024-12-28 18:22:08,云南,
047,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,20211,3649,1210905,L1,7440834543005942562,环境什么的没必要和欧美比，眼下最重要的是搞好经济，让人民富起来[比心],七星瓢虫🐛,73523166361,544,1,2024-11-24 21:18:21,山东,
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046,L1,7375522095511765801,能不能拍一下六座大坝的回鱼系统，[抱拳]把生态做好也是重点之重。,祝主页购物的朋友2026发大财。,99802096311,539,3,2024-06-01 21:12:39,四川,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453451673118376741,十一年真的够吗？,.🦋.,63472882151,529,0,2024-12-28 21:19:14,重庆,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561702186017096502,真的是靠那些风车发电的吗,大宝贝,3947660184922362,513,1,2025-10-16 14:26:31,陕西,
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046,L1,7375518439262569266,自然资源的合理利用，有效减少化石能源的开发利用，同的还能大大减少环境污染[比心][比心][比心][比心][比心][比心][比心],东东老师,4503189950046957,475,1,2024-06-01 20:58:29,广东,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453449955753542426,[流泪][流泪][流泪]我有两个女儿，心都碎了,幸运星！！！,109129127417,440,0,2024-12-28 21:12:34,广西,
088,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,2025-09-06 09:53:07,35651,2152,757023,L1,7546830069751137082,乱世云贵川打战最狠，盛世云贵川打工最狠[我想静静],柳柳,405041776429751,436,2,2025-09-06 12:35:06,云南,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453447176511308603,支持判死刑，祖国请保护妇女儿童[玫瑰][玫瑰][玫瑰],头彩化妆造型—程程,74632865106,420,0,2024-12-28 21:01:47,重庆,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7354000733148267275,我在支付宝蚂蚁森林新疆和甘肃种过树，我骄傲。,安&然,97580586983,417,0,2024-04-04 21:18:46,山东,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453442875796308751,十一年是啥意思,晓雨,20947322776,410,2,2024-12-28 20:45:05,江西,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353991765093679884,沙海变绿洲[比心]致敬所有治沙人[送心],✿✿ヽ(°▽°)ノ✿换然,3579612055208525,407,0,2024-04-04 20:43:59,河南,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561675631349924654,读书的意义到底是什么？,刘学义的三界,99926762432,393,0,2025-10-16 12:43:27,陕西,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382861408621380367,一条大运河，半部华夏史。,胡少鹰,97904403019,390,0,2024-06-21 15:53:00,辽宁,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7354144275821167395,植树造林，养护花草，人人有责[赞][赞][玫瑰][玫瑰][一起加油][一起加油],茗茶,1855599934966573,384,0,2024-04-05 06:35:53,广东,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349398087196377882,我严重怀疑人民网小编换了个零零后，只是我没证据[泪奔][泪奔][泪奔][泪奔],半支烟🚬24.12.26,92968423753,378,1,2024-03-23 11:38:11,山东,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7354012947691553570,: 我在蚂蚁森林种的树是真的吗？这对我很重要，有没有人解答一下,周丘山,1226699895762579,364,0,2024-04-04 22:06:11,浙江,
011,7344891279248985384,用AI视角打开“两会热词”，读懂人民的期盼。#绘说现代化,2024-03-11 08:09:31,34736,2234,1151721,L1,7344892327737967411,第一[比心][比心][比心],马里奥🦈🦈,96970917616,347,3,2024-03-11 08:13:33,四川,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453447591461339940,帮帮她吧，她只是想好好活着，活着而已啊[流泪],乐桃妹妹,96108792443,344,0,2024-12-28 21:03:23,陕西,
002,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,35042,2981,1453380,L2,7323198852000121615,人民首先要吃饱！感谢育种人！,冉冉,85846643629,341,0,2024-01-12 21:11:45,广东,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7354157778171413257,我在蚂蚁森林种的树是真的吗？这对我很重要，有没有人解答一下[玫瑰][玫瑰][泪奔],强哥江湖漂,3118664349122711,329,0,2024-04-05 07:28:16,重庆,
047,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,20211,3649,1210905,L1,7440448063058182938,听说你晚上10点发吃的，我来看看今天是什么菜系 [还得是我],走不动道,98106774218,319,2,2024-11-23 20:48:56,江苏,
047,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,20211,3649,1210905,L1,7440847487047533372,环境什么的没必要和欧美比，眼下最重要的是搞好经济，让人民富起来[比心],真姐好物,10554770998,318,0,2024-11-24 22:08:35,河南,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7354174334740661029,支付宝种的树是真的吗？,黄金,74558227437,313,1,2024-04-05 08:32:29,江西,
004,7328196474980797715,科技让会种地变成慧种地！全国农作物耕种收综合机械化率已超过73% #绘说现代化,2024-01-26 08:25:26,21792,7226,1160108,L1,7328242754999386943,科技种地对我们山沟沟是实不了的，我们这里盆盆罐罐的面积,翠竹$玲珑,93187169185,311,0,2024-01-26 11:24:42,山东,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453441243792999207,首先我很爱我的祖国，为中国自豪，其次也希望我爱的祖国保护妇女儿童[玫瑰][玫瑰][玫瑰],罗瘦瘦会化妆（在宜宾）,61377994430,310,1,2024-12-28 20:38:45,四川,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349408242688344868,人民网你告诉我，这期小编是不是蛋蛋后[奸笑][奸笑][奸笑],三岁小孩,87238231870,301,2,2024-03-23 12:17:35,山东,
031,7398734116654468367,暑期旅游，“热”力十足；新型消费，不断拓展！80秒看活力中国潜力十足🔥#绘说现代化,2024-08-03 10:27:20,9139,940,715977,L1,7398798580598965018,有那么一个贵妇人，电话打到了我的前线指挥所,拾弋,94960043887,297,4,2024-08-03 14:37:19,甘肃,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453451809849033472,我好害怕，我也我女儿,拿铁三分糖☕,92858641957,295,0,2024-12-28 21:19:46,安徽,
002,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,35042,2981,1453380,L2,7323238208051987263,原生态的就是最好的，就不要研究转基因了好么,小盼love,111044191612,292,2,2024-01-12 23:44:30,山东,
002,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,35042,2981,1453380,L2,7323221819501347623,种子安全是大问题,与清风相醉,109725028841,284,0,2024-01-12 22:40:52,云南,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353874259079365410,从大说对全人类 对地球好 从小说对全中国 华夏子孙好,一城一画,103219319047,282,1,2024-04-04 13:08:01,黑龙江,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382856240068985634,大运河，不仅是水流的长河，更是历史的史诗，文化的宝藏，值得我们去珍视与传承。[比心][比心][比心],柚子熟了,60926392807,278,0,2024-06-21 15:32:58,辽宁,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382859522942173952,大运河从哪里到哪里呢[不是吧][不是吧][不是吧],╭ァ诠釋莪de薀柔,715120707911347,276,2,2024-06-21 15:45:42,广东,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453438176356188962,保护妇女儿童，保护受害者,🫧,68716365209,268,0,2024-12-28 20:26:51,山西,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7557160820468237096,请问一下各位，可不可以自己家安装一个小型的，够自己用就可以的那种[捂脸],鱼是鱼猫是猫,1935586210624382,263,1,2025-10-04 08:43:40,四川,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7557158699585651497,[敬礼]万里山河，祖国繁荣,🇨🇳为人民服务🎗,73529883323,261,0,2025-10-04 08:35:28,浙江,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561677973192311591,10.16,吃撑的碎碎冰😂,67413381107,261,0,2025-10-16 12:52:32,贵州,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353876322245165876,植树造林，功在当代利在千秋！[赞][赞][赞][赞],起风了🐼🐼🐼,50929451703,260,1,2024-04-04 13:16:02,四川,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349429765768839974,60后的文稿，70后劳作，90后编辑，00后技术支持，80后审稿。,2481亿美元,98566195092,248,1,2024-03-23 13:41:10,广西,
004,7328196474980797715,科技让会种地变成慧种地！全国农作物耕种收综合机械化率已超过73% #绘说现代化,2024-01-26 08:25:26,21792,7226,1160108,L1,7328242377477817124,小时候家里十几亩地都是靠人工！现在科技发达了我家没有地了[捂脸][捂脸][捂脸],珂珂好物优选,75622506120,246,0,2024-01-26 11:23:15,河南,
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046,L1,7375532365227672356,希望我能抗癌成功！,重生路上,60809506866,230,0,2024-06-01 21:52:31,重庆,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353996433329439529,植树造林，造福子孙后代[送心],R珍惜,1591721595765640,226,0,2024-04-04 21:02:07,湖北,
034,7406599046112005428,累计调水740多亿立方米！90秒看南水北调工程有多牛👍 #绘说现代化,2024-08-24 15:07:19,14117,1155,686701,L1,7406606821085397811,人民网，我分手了，很难过怎么办呀[捂脸][捂脸],古月木木呀,107697826328,224,24,2024-08-24 15:37:17,上海,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453432717063537465,十一年，合理吗[流泪]够吗？,八月长安,100578282249,224,3,2024-12-28 20:05:41,福建,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349894150890357556,居然是人民网的作品，惊呆下巴，看了又看,草莓软糖,3021051404492180,221,0,2024-03-24 19:43:09,四川,
030,7396485913095834915,中国世界遗产总数达到59项！88秒看文化中国闪耀世界👏#绘说现代化,2024-07-28 09:03:13,12533,1099,840889,L1,7396607852683690752,我想问一下，长城上有厕所吗？[捂脸],天磊童装,369878493826400,218,3,2024-07-28 16:56:12,河北,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453446790022087484,支持判死刑，祖国请保护妇女儿童[玫瑰][玫瑰][玫瑰],Hansan,60523181944,218,0,2024-12-28 21:00:16,吉林,
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046,L1,7375528909994312483,希望电费能底点，真是吃不消！不知道是不是电表走的快[捂脸]！以前正常用电一个月是几十块的电费，现在几百块的电费[捂脸]都不够用,常突额尔克ᠴᠠᠩᠲᠣᠬᠣ ᠡᠷᠭᠢ部落,102791932526,207,0,2024-06-01 21:39:08,辽宁,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382856230124389129,中华文化，博大精深，源远流长，潜移默化，深远持久！[赞][赞][赞],星河入梦,163189159377422,207,1,2024-06-21 15:32:54,浙江,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453415660366922556,11年不够啊，太轻了[流泪],伊卡💭,17942276908,205,0,2024-12-28 18:59:28,安徽,
003,7325747193879497995,人才是希望田野的“绘就者”，当前我国农村实用人才超2300万！#绘说现代化,2024-01-19 18:00:44,6816,255,387697,L1,7325766828201476905,麻烦多招几个有文化的没封建思想的人来运营可以吗[送心][猪头][猪头][猪头],卢卡超绝萌物,3993868643875101,204,2,2024-01-19 19:16:50,江西,
002,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,35042,2981,1453380,L2,7323224985102992154,农业才是一个国家的命脉,财神爷爷,105477496479,199,0,2024-01-12 22:53:11,福建,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453456095814779699,为什么不是死刑,爱笑的眼睛,76471502529,195,0,2024-12-28 21:36:23,重庆,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453413108339917578,十一年认真的吗,橘,3936668636168032,191,0,2024-12-28 18:49:40,河南,
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046,L1,7375532311007396619,我的问题是，电费啥时候降[泣不成声],光明使者,111133187535,190,1,2024-06-01 21:52:18,河北,
088,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,2025-09-06 09:53:07,35651,2152,757023,L1,7546827612439429946,懂事的云南人已经在广东打工了[流泪][流泪][流泪],橘子精💎,70904912403,190,17,2025-09-06 12:25:33,广东,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561623764686979897,[流泪][流泪][流泪][流泪],冷冰冰√,61288364391,188,0,2025-10-16 09:22:12,吉林,
047,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,20211,3649,1210905,L1,7440846940462334756,看得到的地方越来越干净，看不到的地方垃圾遍地，是时候对犄角旮旯等野外的垃圾进行清理了,橄榄绿的青春,97813999112,185,0,2024-11-24 22:06:27,安徽,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453444746745938688,帮帮她吧，她只是想好好活着，活着而已啊[流泪],星_⭐️,65345450521,183,0,2024-12-28 20:52:21,河北,
030,7396485913095834915,中国世界遗产总数达到59项！88秒看文化中国闪耀世界👏#绘说现代化,2024-07-28 09:03:13,12533,1099,840889,L1,7396487212206015242,万里长城2025年重新翻修，盘活这条龙[赞][赞][赞][赞][赞][赞],蓝海100,111455292083,182,5,2024-07-28 09:08:03,陕西,
047,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,20211,3649,1210905,L1,7440828319992742696,主演还是汽车尾气排放，建议多给汽油里面加点水,思钱想厚,95551545708,182,2,2024-11-24 20:54:13,重庆,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382881226883121961,不懂就问，为什么叫大运河？,红苕花,104204748384,176,5,2024-06-21 17:09:52,四川,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349726371201663778,居然是人民网的作品，惊呆下巴，看了又看,『豌豆侠』要起飞,106131269868,174,0,2024-03-24 08:52:06,四川,
047,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,20211,3649,1210905,L1,7440451104763183872,2024 当什么最赚钱？,Hello啊树哥,51657867860,165,3,2024-11-23 20:30:24,北京,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453450044520891194,十一年真的够吗？？？？？？？,咪咪快回家🐱,94192986709,164,0,2024-12-28 21:12:54,江苏,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453443164151137084,帮帮她吧，她只是想好好活着，活着而已啊[流泪],🌈若卿,97183503467,164,0,2024-12-28 20:46:12,陕西,
