目录编号,视频ID,视频标题,发布时间_格式化,点赞数,分享数,播放数
36,7411739196726988047,我国在校生2.91亿人，研发人员总量居世界首位…教育强国，阔步前行！#绘说现代化,2024-09-07 11:33:40,4309,138,205005
20,7370214795678649634,土特产出圈撑起大产业！截至2023年底，全国已有180个优势特色产业集群👍一人说一个家乡特产吧！ #绘说现代化,2024-05-18 13:57:52,4205,112,257226
53,7455971603617189183,冰雪旅游“火”、冰雪产业“热”、冰雪运动“燃”…冰雪经济活力四射！这个冬天，你想去哪里看看？#绘说现代化,2025-01-04 16:19:44,4122,132,247723
58,7469214648441556278,尔滨正式进入“亚冬时间”， 听易烊千玺、单依纯演唱的《尔滨的雪》，感受龙江冰雪热辣滚烫！#绘说现代化,2025-02-09 08:48:11,4056,101,213920
38,7417312901037296911,100秒看丰收中国粮安天下！#绘说现代化,2024-09-22 12:02:28,4015,147,172113
42,7427292024266558746,秋收正当时，处处好丰光！风吹麦浪遍地黄、万亩高粱别样红、稻鱼共生绿意浓...今年全国秋粮有望再获丰收🎉 #绘说现代化,2024-10-19 09:30:01,3683,96,199841
17,7361022180467002658,爱读书、读好书、善读书！去年我国人均阅读纸质书4.75本，你看了几本？#绘说现代化,2024-04-23 19:25:42,3504,86,255212
60,7474165837881036068,不止“风吹草低见牛羊”，冰雪内蒙古也很治愈！下一个冬天，我们不见不散！#绘说现代化,2025-02-22 17:03:52,3385,47,146266
37,7414405348548709695,80秒看中国能源底气十足🔥 点亮小心心，“加油”“打气”！ #绘说现代化,2024-09-15 10:00:00,3343,81,208353
89,7549899600288140579,水丰、光富、风好、地广…青海在绿电领域的第一也太多了吧！一起感受中国式现代化的磅礴力量！#绘说现代化@人民网青海频道,2025-09-14 19:06:25,3299,77,141051
35,7409470825398635816,今年我国快递量已突破1000亿件！快递加速度，点赞便利中国！ #绘说现代化,2024-09-01 08:51:20,3297,95,177656
82,7531575111590137115,大有可为大有前途！2024年，我国海洋经济总量首次突破10万亿元，较2012年翻一番！骄傲见证，海洋强国建设风帆正劲！#绘说现代化,2025-07-27 09:58:24,3272,81,168813
75,7513068623401995547,一起走进山水广西，感受中国式现代化的创新活力。#绘说现代化,2025-06-07 13:05:36,3200,107,178288
39,7419859025086418203,绿色共享！80秒打开低碳中国🌳 #绘说现代化,2024-09-29 08:43:13,3141,532,419816
41,7425243592555334964,这个国庆，文旅场景持续上新、多地赛事如火如荼、以旧换新激发潜力…假日经济的韧性和活力拉满了🔥#绘说现代化,2024-10-13 20:57:38,3119,53,183705
48,7443001784550935859,100秒看科技强国扎实推进！一起感受中国式现代化的磅礴力量！#绘说现代化,2024-12-01 09:00:00,3117,863,207555
64,7484832580353740071,中国人春耕的科技含量有多高？农机+北斗、植保+无人机…60秒打开万象“耕”新的春天👍#绘说现代化,2025-03-23 10:56:32,3036,741,101743
8,7339123744855641382,2024年春节档电影票房超80亿元、春节假期国内旅游出游4.74亿人次......一起感受中国式现代化的磅礴力量！ #绘说现代化,2024-02-24 19:08:32,2968,79,213330
32,7401712744732331316,15分钟健身圈、每天1节体育课…全民健身蔚然成风，健康中国你我同行💪#绘说现代化,2024-08-11 11:05:54,2744,68,224326
59,7471833263019920679,吉林冰雪经济“花样”上新！想去的心情达到了顶峰🤩 #绘说现代化,2025-02-16 10:09:34,2652,49,174825
65,7487062983672188186,作为唯一没有平原的省份，贵州是如何种好田的？#绘说现代化  一起感受中国式现代化的磅礴力量！,2025-03-29 11:08:35,2596,123,104545
90,7552348084685131054,追“风”逐“绿”！ 宁夏“绿电”0.0054秒即可闪送湖南，为国家构建新型能源体系贡献宁夏力量！#绘说现代化,2025-09-21 09:28:07,2578,63,78920
55,7460714101841349929,冰雪“冀” 火起来！总要去河北滑一次雪吧？爱滑雪的同学在哪里#绘说现代化（@河北文旅 ）,2025-01-18 09:00:00,2532,46,160502
67,7492360991062248715,搭载Deepseek的机器人在田里巡查，麦田上空的无人机化身“钢铁蜻蜓”来回穿梭......当天府粮仓遇上智慧农业，种地有多强？#绘说现代化,2025-04-12 17:47:30,2524,90,123143
83,7533841121898777891,上海港集装箱吞吐量连续15年全球第1👍一起见证上海向海图强的壮阔征程，感受中国式现代化的磅礴力量！#绘说现代化,2025-08-02 12:32:01,2495,14,117655
51,7450691959372500287,背诗文免门票、一部剧带火一座城、悟空古建游出圈…旅游强国新潮涌动🔥#绘说现代化,2024-12-21 10:50:57,2480,58,176224
49,7445275868512931087,6轴7廊8通道，主骨架加快成型；国产大飞机C919，三大航全部投入运营…交通强国，步履不停！#绘说现代化,2024-12-07 09:00:00,2424,40,149688
85,7539380131891088691,海上风电总装机规模全国第一 ，海水鱼养殖产量占全国近半；“梦想”号大洋钻探船建成入列，中华白海豚频频现身海域…广东奏响海洋经济新“粤”章！#绘说现代化,2025-08-17 10:45:31,2399,35,124034
70,7500000282186435879,你的浪漫七成来自云南🌷全国每10枝鲜切花7枝来自云南🌷每天有3000万枝鲜切花从昆明斗南花市发往全球50多个国家和地区🌷#绘说现代化,2025-05-03 07:51:51,2282,34,113808
69,7497431094980037922,全国每9碗饭里就有1碗来自黑龙江！这就是全国产粮第一大省的春耕含金量👍#绘说现代化,2025-04-26 09:44:45,2203,47,110628
66,7488939131784006948,193万亩农田喝上“智慧水”，30万台农机即将开耕3200万亩良田......山西春耕科技感MAX！#绘说现代化,2025-04-03 12:31:37,2192,112,114382
94,7561985253934370088,延安老区新能绿动未来！石油资源储量13.8亿吨、天然气资源储量3000亿方、可开发新能源规模1150万千瓦……红色延安向新而动逐绿前行！#绘说现代化  #AI大家创,2025-10-17 08:45:08,2190,21,94092
50,7448118137075109135,免签国“朋友圈”持续扩容、共建“一带一路”开启新篇...1分钟视频带你感受！#绘说现代化,2024-12-14 12:26:43,2013,76,122093
96,7567934233667259675,#这些大国重器都是辽宁造 ！以科技创新引领产业创新，为辽宁全面振兴注入新动能！一起感受中国式现代化的磅礴力量！#绘说现代化 #AI大家创,2025-11-02 09:30:10,2006,53,65247
73,7507812260703849743,非遗里的“陕味”好上头！一起感受中国式现代化的蓬勃生机🤩#绘说现代化,2025-05-24 09:06:21,1976,29,91220
56,7464043488636718372,惊艳！冬天的新疆含金量有多高！ ,2025-01-26 10:25:00,1865,48,100882
80,7526005320070515987,1314公里的G331吉林段有多美？ 从长白山的清凉到鸭绿江的微风，#绘说现代化 带你走进吉林这条宝藏公路❤️,2025-07-12 09:44:35,1821,40,66963
81,7528600886927461658,你吃的菜可能就来自云南✌️平均每1分钟就有约40吨鲜蔬发往全国，“云菜” ——世界认识中国农业的鲜活名片！#绘说现代化,2025-07-19 09:36:40,1804,94,91697
77,7518280205874629938,打翻的调色盘、流动的风情画、文化的荟萃地……#绘说现代化 ，一起看新疆的N种打开方式！,2025-06-21 14:07:40,1779,40,91786
84,7536153664466029858,从南通“造岛神器”，到盐城“发电站”，再到连云港“海洋牧场”……江苏海洋经济不止于GDP！#绘说现代化  带你看“与海共生”的文明新篇🌊,2025-08-09 09:00:00,1768,31,87275
78,7520470158775684387,“不到4分钟便可收割一亩地”、“自动规划最优路线，不重割、不漏割”...1分钟看中国人三夏有多拼！#绘说现代化,2025-06-27 11:45:22,1728,60,99248
45,7435470357861059891,相约进博、共享未来，一起感受中国式现代化的磅礴力量！ #绘说现代化,2024-11-10 10:26:50,1712,98,130149
76,7515659057656548608,国人餐桌上，每10条大黄鱼就有8条来自福建宁德🤩一起走进福建，感受中国式现代化的磅礴力量！#绘说现代化,2025-06-14 12:35:44,1673,37,104236
97,7570155319674883328,#中国轻工业实力有多硬核 轻工业既事关人民美好生活，也关系国民经济增长。#绘说现代化 中国轻工业向新而行！#AI大家创 #媒体精选计划,2025-11-08 09:09:12,1620,18,109377
93,7559762788902653199,世界屋脊“追风逐日”！ 水力资源可开发量1.8亿千瓦，光伏资源可开发量98亿千瓦，风能资源可开发量1.1亿千瓦...西藏的清洁能源资源也太丰富了👍🏻 #绘说现代化  #AI大家创,2025-10-11 09:00:51,1607,20,56645
87,7543802760714669347,原来四川的“气场”这么足！以气为脉、以绿为底，四川正为国家能源安全与绿色转型注入澎湃动能👍#绘说现代化,2025-08-29 08:47:57,1599,25,60202
95,7564971243222125874,#湖南敢为天下新 在“三高四新”战略引领下，湖南正以前所未有的速度，创新发展、创造未来！#绘说现代化 解锁湘江之畔的创新密码👍#AI大家创,2025-10-25 09:52:12,1552,61,60887
71,7502686119960562996,一起走进不一样的河南，感受中国式现代化的创新活力。#绘说现代化,2025-05-10 13:37:28,1507,28,82641
86,7541587568748498202,海南十年再造海上海南！在海洋强国战略指引下，海南正构建“5+4+2”现代海洋产业体系🌊 一起感受中国式现代化的磅礴力量！#绘说现代化#AI大家创,2025-08-23 12:00:00,1502,30,81429
79,7523020899432303907,湖北好玩的地方也太太太多了吧🤩你能说出几个！一起走进湖北，感受中国式现代化蓬勃的脉动！#绘说现代化,2025-07-04 08:43:37,1443,32,65828
62,7478513036274273590,“稳”的态势巩固延续，“进”的步伐坚实有力！ 1分钟数读政府工作报告，感受中国式现代化的磅礴力量！#绘说现代化 #2025全国两会,2025-03-06 10:12:46,1439,157,73841
74,7510484975373421850,浙里好风景！浙江绘就中国式现代化文旅新范式👍 #绘说现代化 带你走进诗画江南❤️,2025-05-31 13:57:46,1305,16,82955
68,7494838859981720868,数字牧场、绿色养殖、AI赋能…山东的海上春耕已经是另一个level了！#绘说现代化（@人民网山东频道🫰 ）,2025-04-19 10:02:59,1078,24,56604
